"","Student ID","Gender","First Generation Indicator","Term Code","Term UG Crs GPA","Cum UG Crs GPA"
"182",8098995,"Female","Not First Generation College Stdnt","202420",2.37,2.88
"183",8098995,"Female","Not First Generation College Stdnt","202510",NA,2.88
"184",8099721,"Male","Not First Generation College Stdnt","202410",2.21,2.21
"185",8099721,"Male","Not First Generation College Stdnt","202420",2.74,2.49
"186",8099721,"Male","Not First Generation College Stdnt","202510",NA,2.49
"187",8099820,"Male","Not First Generation College Stdnt","202410",3.06,3.06
"188",8099820,"Male","Not First Generation College Stdnt","202420",3.26,3.15
"189",8099820,"Male","Not First Generation College Stdnt","202510",NA,3.15
"190",8100116,"Female","Not First Generation College Stdnt","202410",3.04,3.04
"191",8100116,"Female","Not First Generation College Stdnt","202420",2.83,2.94
"192",8100116,"Female","Not First Generation College Stdnt","202510",NA,2.94
"193",8100342,"Female","Not First Generation College Stdnt","202410",4,4
"194",8100342,"Female","Not First Generation College Stdnt","202420",4,4
"195",8100342,"Female","Not First Generation College Stdnt","202510",NA,4
"196",8100526,"Male","First Generation College Stdnt","202410",3.7,3.7
"197",8100526,"Male","First Generation College Stdnt","202420",3.76,3.73
"198",8100526,"Male","First Generation College Stdnt","202510",NA,3.73
"199",8100549,"Male","Not First Generation College Stdnt","202410",3.78,3.78
"200",8100549,"Male","Not First Generation College Stdnt","202420",3.45,3.65
"201",8100549,"Male","Not First Generation College Stdnt","202510",NA,3.65
"202",8100919,"Male","Not First Generation College Stdnt","202410",2.34,2.34
"203",8100919,"Male","Not First Generation College Stdnt","202420",2.46,2.41
"204",8100919,"Male","Not First Generation College Stdnt","202510",NA,2.41
"205",8101018,"Male","Not First Generation College Stdnt","202410",3.25,3.25
"206",8101018,"Male","Not First Generation College Stdnt","202420",3.93,3.57
"207",8101018,"Male","Not First Generation College Stdnt","202510",NA,3.57
"208",8101123,"Female","Not First Generation College Stdnt","202410",2.34,2.34
"209",8101123,"Female","Not First Generation College Stdnt","202420",3.22,2.95
"210",8101123,"Female","Not First Generation College Stdnt","202510",NA,3.05
"211",8101143,"Male","Not First Generation College Stdnt","202410",3.13,3.13
"212",8101143,"Male","Not First Generation College Stdnt","202420",2.72,2.92
"213",8101143,"Male","Not First Generation College Stdnt","202510",NA,2.92
"214",8101331,"Male","Not First Generation College Stdnt","202410",3.92,3.92
"215",8101331,"Male","Not First Generation College Stdnt","202420",4,3.96
"216",8101331,"Male","Not First Generation College Stdnt","202510",NA,3.96
"217",8101424,"Male","Not First Generation College Stdnt","202410",3.92,3.92
"218",8101424,"Male","Not First Generation College Stdnt","202420",3.64,3.78
"219",8101424,"Male","Not First Generation College Stdnt","202510",NA,3.81
"220",8101439,"Male","Not First Generation College Stdnt","202410",3.8,3.8
"221",8101439,"Male","Not First Generation College Stdnt","202420",3.31,3.59
"222",8101439,"Male","Not First Generation College Stdnt","202510",NA,3.6
"223",8102153,"Male","Not First Generation College Stdnt","202410",3.78,3.78
