"","Student ID","Cohort Term","Term Code","Enrolled Student Count","Major 1","Major 2","Major 3"
"317",8107437,"202410","202420",1,"Accountancy",NA,NA
"318",8107437,"202410","202510",1,"Accountancy",NA,NA
"319",8107639,"202410","202410",1,"BA Major",NA,NA
"320",8108201,"202410","202410",1,"BA Major",NA,NA
"321",8108201,"202410","202420",1,"BA Major",NA,NA
"322",8108201,"202410","202510",1,"BA Major",NA,NA
"323",8109038,"202410","202410",1,"BA Major",NA,NA
"324",8109038,"202410","202420",1,"BA Major",NA,NA
"325",8109038,"202410","202510",1,"BA Major",NA,NA
"326",8109428,"202410","202410",1,"Marketing",NA,NA
"327",8109428,"202410","202420",1,"BA Major",NA,NA
"328",8109428,"202410","202510",1,"BA Major",NA,NA
"329",8109574,"202410","202410",1,"BA Major",NA,NA
"330",8109574,"202410","202420",1,"BA Major",NA,NA
"331",8109574,"202410","202510",1,"BA Major",NA,NA
"332",8110107,"202410","202410",1,"Undeclared - Business",NA,NA
"333",8110107,"202410","202420",1,"BA Major",NA,NA
"334",8110107,"202410","202510",1,"BA Major",NA,NA
"335",8110149,"202410","202410",1,"BA Major",NA,NA
"336",8110149,"202410","202420",1,"BA Major",NA,NA
"337",8110149,"202410","202510",1,"BA Major",NA,NA
"338",8110213,"202410","202410",1,"BA Major",NA,NA
"339",8110213,"202410","202420",1,"BA Major",NA,NA
"340",8110213,"202410","202510",1,"BA Major","Finance",NA
"341",8110325,"202410","202410",1,"BA Major",NA,NA
"342",8110325,"202410","202420",1,"Finance",NA,NA
"343",8110325,"202410","202510",1,"Finance",NA,NA
"344",8111107,"202410","202410",1,"BA Major",NA,NA
"345",8111107,"202410","202420",1,"BA Major",NA,NA
"346",8111107,"202410","202510",1,"BA Major",NA,NA
"347",8111944,"202410","202410",1,"BA Major",NA,NA
"348",8111944,"202410","202420",1,"BA Major",NA,NA
"349",8111944,"202410","202510",1,"BA Major",NA,NA
"350",8112120,"202410","202410",1,"BA Major",NA,NA
"351",8112120,"202410","202420",1,"BA Major",NA,NA
"352",8112120,"202410","202510",1,"BA Major",NA,NA
"353",8112254,"202410","202410",1,"BA Major",NA,NA
"354",8112254,"202410","202420",1,"BA Major",NA,NA
"355",8112254,"202410","202510",1,"BA Major",NA,NA
"356",8112451,"202410","202410",1,"BA Major",NA,NA
"357",8112451,"202410","202420",1,"BA Major",NA,NA
"358",8112451,"202410","202510",1,"BA Major",NA,NA
"359",8112497,"202410","202410",1,"BA Major","CAS",NA
"360",8112497,"202410","202420",1,"BA Major","CAS",NA
"361",8112497,"202410","202510",1,"BA Major","CAS",NA
"362",8112667,"202410","202410",1,"BA Major",NA,NA
"363",8112667,"202410","202420",1,"Accountancy",NA,NA
"364",8112667,"202410","202510",1,"Accountancy",NA,NA
"365",8112942,"202410","202410",1,"BA Major",NA,NA
"366",8112942,"202410","202420",1,"BA Major",NA,NA
"367",8112942,"202410","202510",1,"BA Major",NA,NA
"368",8113087,"202410","202410",1,"BA Major",NA,NA
"369",8113087,"202410","202420",1,"BA Major",NA,NA
"370",8113087,"202410","202510",1,"BA Major",NA,NA
"371",8113388,"202410","202410",1,"BA Major",NA,NA
"372",8113388,"202410","202420",1,"BA Major",NA,NA
"373",8113388,"202410","202510",1,"BA Major",NA,NA
"374",8113623,"202410","202410",1,"Finance",NA,NA
"375",8113623,"202410","202420",1,"Accountancy",NA,NA
"376",8113623,"202410","202510",1,"BA Major","Finance",NA
"377",8113661,"202410","202410",1,"BA Major",NA,NA
"378",8113661,"202410","202420",1,"BA Major",NA,NA
"379",8113661,"202410","202510",1,"BA Major",NA,NA
"380",8113775,"202410","202410",1,"BA Major",NA,NA
"381",8113775,"202410","202420",1,"BA Major",NA,NA
"382",8113775,"202410","202510",1,"BA Major",NA,NA
"383",8113883,"202410","202410",1,"BA Major",NA,NA
"384",8113883,"202410","202420",1,"BA Major",NA,NA
"385",8113883,"202410","202510",1,"BA Major",NA,NA
"386",8113913,"202410","202410",1,"BA Major",NA,NA
"387",8113913,"202410","202420",1,"BA Major",NA,NA
"388",8113913,"202410","202510",1,"BA Major",NA,NA
"389",8113952,"202410","202410",1,"BA Major",NA,NA
"390",8113952,"202410","202420",1,"BA Major",NA,NA
"391",8113952,"202410","202510",1,"BA Major",NA,NA
"392",8114030,"202410","202410",1,"Undeclared - Business",NA,NA
"393",8114030,"202410","202420",1,"BA Major",NA,NA
"394",8114030,"202410","202510",1,"BA Major",NA,NA
"395",8114059,"202410","202410",1,"BA Major",NA,NA
"396",8114059,"202410","202420",1,"BA Major",NA,NA
"397",8114059,"202410","202510",1,"BA Major",NA,NA
"398",8114711,"202410","202410",1,"BA Major",NA,NA
"399",8114711,"202410","202420",1,"BA Major",NA,NA
"400",8114711,"202410","202510",1,"BA Major",NA,NA
"401",8114906,"202410","202410",1,"BA Major",NA,NA
"402",8114906,"202410","202420",1,"BA Major",NA,NA
"403",8114906,"202410","202510",1,"BA Major",NA,NA
"404",8114983,"202410","202410",1,"BA Major",NA,NA
"405",8114983,"202410","202420",1,"Human Capital Mgmt& Leadership",NA,NA
"406",8114983,"202410","202510",1,"Human Capital Mgmt& Leadership",NA,NA
"407",8115221,"202410","202410",1,"BA Major",NA,NA
"408",8115221,"202410","202420",1,"BA Major",NA,NA
"409",8115233,"202410","202410",1,"BA Major",NA,NA
"410",8115233,"202410","202420",1,"BA Major",NA,NA
"411",8115233,"202410","202510",1,"BA Major",NA,NA
"412",8115369,"202410","202410",1,"BA Major",NA,NA
"413",8115369,"202410","202420",1,"BA Major",NA,NA
"414",8115369,"202410","202510",1,"BA Major",NA,NA
"415",8115647,"202410","202410",1,"BA Major",NA,NA
"416",8115647,"202410","202420",1,"BA Major",NA,NA
"417",8115647,"202410","202510",1,"BA Major",NA,NA
"418",8116045,"202410","202410",1,"BA Major",NA,NA
"419",8116045,"202410","202420",1,"BA Major",NA,NA
"420",8116045,"202410","202510",1,"BA Major",NA,NA
"421",8116163,"202410","202410",1,"BA Major",NA,NA
"422",8116163,"202410","202420",1,"BA Major",NA,NA
"423",8116163,"202410","202510",1,"BA Major",NA,NA
"424",8116176,"202410","202410",1,"BA Major","Entrepreneurship",NA
"425",8116176,"202410","202420",1,"BA Major","Entrepreneurship",NA
"426",8116176,"202410","202510",1,"Entrepreneurship","Finance",NA
"427",8116670,"202410","202410",1,"BA Major",NA,NA
"428",8116670,"202410","202420",1,"BA Major",NA,NA
"429",8116670,"202410","202510",1,"Finance",NA,NA
"430",8116997,"202410","202410",1,"BA Major",NA,NA
"431",8116997,"202410","202420",1,"BA Major",NA,NA
"432",8116997,"202410","202510",1,"BA Major",NA,NA
"433",8117385,"202410","202410",1,"BA Major",NA,NA
"434",8117385,"202410","202420",1,"BA Major",NA,NA
"435",8117385,"202410","202510",1,"BA Major",NA,NA
"436",8117466,"202510","202510",1,"BA Major",NA,NA
"437",8118379,"202410","202410",1,"Undeclared - Business",NA,NA
"438",8118379,"202410","202420",1,"Undeclared - Business",NA,NA
"439",8118379,"202410","202510",1,"Accountancy","BA Major",NA
"440",8119708,"202410","202410",1,"Finance",NA,NA
"441",8119708,"202410","202420",1,"Finance",NA,NA
"442",8119708,"202410","202510",1,"BA Major",NA,NA
"443",8119865,"202410","202410",1,"BA Major",NA,NA
"444",8119865,"202410","202420",1,"BA Major",NA,NA
"445",8119865,"202410","202510",1,"BA Major",NA,NA
"446",8120083,"202410","202410",1,"BA Major",NA,NA
"447",8120083,"202410","202420",1,"BA Major",NA,NA
"448",8120083,"202410","202510",1,"BA Major",NA,NA
"449",8121036,"202410","202410",1,"Undeclared - Business",NA,NA
"450",8121036,"202410","202420",1,"BA Major",NA,NA
"451",8121036,"202410","202510",1,"BA Major",NA,NA
"452",8121360,"202410","202410",1,"BA Major",NA,NA
"453",8121360,"202410","202420",1,"BA Major",NA,NA
"454",8121360,"202410","202510",1,"BA Major",NA,NA
"455",8121637,"202410","202410",1,"BA Major",NA,NA
"456",8121637,"202410","202420",1,"BA Major",NA,NA
"457",8121637,"202410","202510",1,"Finance",NA,NA
"458",8124223,"202410","202410",1,"BA Major",NA,NA
"459",8124223,"202410","202420",1,"BA Major",NA,NA
"460",8124223,"202410","202510",1,"BA Major",NA,NA
"461",8124641,"202310","202310",1,"BA Major",NA,NA
"462",8124641,"202310","202320",1,"BA Major",NA,NA
"463",8124641,"202310","202410",1,"Supply Chain & Operations Mgmt",NA,NA
"464",8124641,"202310","202420",1,"Supply Chain & Operations Mgmt",NA,NA
"465",8124641,"202310","202510",1,"Supply Chain & Operations Mgmt",NA,NA
"466",8125971,"202310","202310",1,"Undeclared - Business",NA,NA
"467",8125971,"202310","202320",1,"CAS","Undeclared - Business",NA
"468",8125971,"202310","202410",1,"BA Major","CAS",NA
"469",8125971,"202310","202420",1,"CAS","Marketing",NA
"470",8125971,"202310","202510",1,"CAS","Marketing",NA
