"","Student ID","Term.Code.Graduated","Degree Type","Degree","Semesters to Degree Average","Major 1","Major 2"
"61","8245801","202410","Bachelor","B.S. in Business",7,"Information Systems",NA
"62","8246329","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"63","8246688","202420","Bachelor","B.S. in Computer Science",8,"Computer Science",NA
"64","8246861","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"65","8246891","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"66","8249408","202420","Bachelor","B.S. in Business",8,"Entrepreneurship","Information&Cybersec Mgt"
"67","8249408","202420","Bachelor","B.S. in Business",8,"Entrepreneurship","Information&Cybersec Mgt"
"68","8250961","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"69","8251247","202420","Bachelor","B.S. in Computer Science",8,"Computer Science",NA
"70","8260919","202420","Bachelor","B.S. in Business",8,"Information Systems","Marketing"
"71","8260919","202420","Bachelor","B.S. in Business",8,"Information Systems","Marketing"
"72","8262583","202515","Bachelor","B.S. in Business",7,"Information&Cybersec Mgt",NA
"73","8269664","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"74","8270244","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"75","8270285","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"76","8271899","202320","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"77","8272073","202320","Bachelor","B.S. in Business",8,"Finance","Information Systems &Analytics"
"78","8272073","202320","Bachelor","B.S. in Business",8,"Finance","Information Systems &Analytics"
"79","8272715","202420","Bachelor","B.S. in Business",10,"Information Systems &Analytics",NA
"80","8273135","202330","Bachelor","B.S. in Business",8,"Information Systems",NA
"81","8275281","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"82","8275768","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"83","8275990","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"84","8278406","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"85","8278735","202310","Bachelor","B.S. in Business",7,"Analytics","Information Systems &Analytics"
"86","8278735","202310","Bachelor","B.S. in Business",7,"Analytics","Information Systems &Analytics"
"87","8279029","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"88","8279045","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics","Supply Chain & Operations Mgmt"
"89","8279045","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics","Supply Chain & Operations Mgmt"
"90","8279077","202320","Bachelor","B.S. in Business",8,"Finance","Information Systems &Analytics"
"91","8279077","202320","Bachelor","B.S. in Business",8,"Finance","Information Systems &Analytics"
"92","8279722","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"93","8280089","202420","Bachelor","B.S. in Business",10,"Information&Cybersec Mgt",NA
"94","8280700","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"95","8281486","202320","Bachelor","B.S. in Business",8,"Accountancy","Information Systems &Analytics"
"96","8281486","202320","Bachelor","B.S. in Business",8,"Accountancy","Information Systems &Analytics"
"97","8281982","202320","Bachelor","B.S. in Business",8,"Business Analytics",NA
"98","8282676","202320","Bachelor","B.S. in Business",8,"Human Capital Mgmt& Leadership","Information Systems &Analytics"
"99","8282676","202320","Bachelor","B.S. in Business",8,"Human Capital Mgmt& Leadership","Information Systems &Analytics"
"100","8282692","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"101","8283222","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics","Marketing"
"102","8283222","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics","Marketing"
"103","8283990","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics","Interactive Media Studies"
"104","8283990","202320","Bachelor","BA Interactive Media Studies",8,"Information Systems &Analytics","Interactive Media Studies"
"105","8284203","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"106","8285702","202320","Bachelor","B.S. in Business",8,"Marketing",NA
"107","8285798","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"108","8286870","202320","Bachelor","B.S. in Business",8,"Information Systems",NA
"109","8287228","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"110","8287451","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"111","8288224","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"112","8288743","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"113","8288840","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"114","8289212","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"115","8289532","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics","Spanish"
"116","8289532","202320","Bachelor","Bachelor of Arts",8,"Information Systems &Analytics","Spanish"
"117","8289763","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"118","8289912","202220","Bachelor","B.S. in Business",6,"Information Systems &Analytics",NA
"119","8290156","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"120","8290344","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"121","8290581","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"122","8290744","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"123","8291186","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"124","8291384","202310","Bachelor","B.S. in Business",7,"Accountancy","Information Systems &Analytics"
"125","8291384","202310","Bachelor","B.S. in Business",7,"Accountancy","Information Systems &Analytics"
"126","8291683","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"127","8291791","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"128","8292025","202410","Bachelor","B.S. in Business",9,"Information Systems &Analytics",NA
"129","8292442","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"130","8293283","202220","Bachelor","B.S. in Business",6,"Information Systems &Analytics",NA
"131","8293553","202320","Bachelor","B.S. in Business",8,"Business Analytics","Information Systems"
"132","8294324","202310","Bachelor","B.S. in Business",7,"Information Systems &Analytics",NA
"133","8294574","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"134","8295277","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"135","8295511","202320","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"136","8308960","202420","Bachelor","B.S. in Business",8,"Accountancy","Information Systems"
"137","8308960","202420","Bachelor","B.S. in Business",8,"Accountancy","Information Systems"
"138","8309047","202220","Bachelor","B.S. in Business",8,"Business Analytics",NA
"139","8309076","202230","Bachelor","B.S. in Business",8,"Finance","Information Systems &Analytics"
"140","8309076","202230","Bachelor","B.S. in Business",8,"Finance","Information Systems &Analytics"
"141","8311146","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"142","8311225","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"143","8315620","202310","Bachelor","B.S. in Business",9,"Information Systems &Analytics",NA
"144","8316012","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"145","8317382","202320","Bachelor","B.S. in Business",10,"Information&Cybersec Mgt",NA
"146","8317791","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"147","8318800","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"148","8319253","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"149","8320580","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"150","8323169","202320","Bachelor","B.S. in Business",6,"Information Systems",NA
"151","8324729","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"152","8325776","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"153","8326128","202220","Bachelor","Bachelor of Arts",8,"Mathematics",NA
"154","8327105","202220","Bachelor","B.S. in Business",8,"Finance",NA
"155","8327670","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"156","8329475","202120","Bachelor","B.S. in Business",6,"Information Systems &Analytics",NA
"157","8329675","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"158","8330331","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"159","8330667","202220","Bachelor","B.S. in Business",8,"Analytics","Information Systems &Analytics"
"160","8330667","202220","Bachelor","B.S. in Business",8,"Analytics","Information Systems &Analytics"
"161","8331244","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"162","8331618","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"163","8331743","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"164","8333235","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"165","8333381","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"166","8333444","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"167","8333498","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics","Marketing"
"168","8333498","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics","Marketing"
"169","8334152","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"170","8334506","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"171","8334898","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"172","8335099","202220","Bachelor","B.S. in Business",8,"Entrepreneurship","Information Systems &Analytics"
"173","8335099","202220","Bachelor","B.S. in Business",8,"Entrepreneurship","Information Systems &Analytics"
"174","8336051","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"175","8336139","202220","Bachelor","B.S. in Business",8,"Finance","Information Systems &Analytics"
"176","8336139","202220","Bachelor","B.S. in Business",8,"Finance","Information Systems &Analytics"
"177","8336578","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"178","8336655","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"179","8336766","202220","Bachelor","B.S. in Business",8,"Accountancy","Information Systems &Analytics"
"180","8336766","202220","Bachelor","B.S. in Business",8,"Accountancy","Information Systems &Analytics"
"181","8336795","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"182","8338465","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"183","8341458","202220","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"184","8351487","202220","Bachelor","B.S. in Business",8,"Marketing",NA
"185","8354519","202120","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"186","8355890","202120","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"187","8357001","202230","Bachelor","B.S. in Business",10,"Information Systems &Analytics",NA
"188","8364032","202120","Bachelor","B.S. in Business",8,"Accountancy",NA
"189","8365162","202120","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
"190","8365422","202120","Bachelor","B.S. in Business",8,"Information Systems &Analytics",NA
