"","Student.ID","Cohort.Term","Term.Code","Major.1","Major.2","Major.3","Graduated","Cum.Credit.Hrs","Cum.UG.Crs.GPA"
"167",8098459,202410,202510,"BA Major","None","None",0,48,"2.57"
"168",8098511,202410,202410,"BA Major","None","None",0,22,"3.8"
"169",8098511,202410,202420,"BA Major","None","None",0,37,"3.8"
"170",8098511,202410,202510,"BA Major","None","None",0,37,"3.8"
"171",8098637,202410,202410,"Business Economics","None","None",0,54,"3.9"
"172",8098637,202410,202420,"BA Major","None","None",0,70,"3.94"
"173",8098637,202410,202510,"Accountancy","None","None",0,70,"3.94"
"174",8098693,202410,202410,"BA Major","None","None",0,15,"3.38"
"175",8098693,202410,202420,"Marketing","None","None",0,31,"3.39"
"176",8098693,202410,202510,"Marketing","None","None",0,31,"3.39"
"177",8098995,202410,202410,"BA Major","CAS","None",0,19,"3.49"
"178",8098995,202410,202420,"BA Major","CAS","None",0,31,"2.88"
"179",8098995,202410,202510,"BA Major","CAS","None",0,31,"2.88"
"180",8099721,202410,202410,"BA Major","None","None",0,15,"2.21"
"181",8099721,202410,202420,"BA Major","None","None",0,33,"2.49"
"182",8099721,202410,202510,"BA Major","None","None",0,33,"2.49"
"183",8099820,202410,202410,"BA Major","None","None",0,15.5,"3.06"
"184",8099820,202410,202420,"BA Major","None","None",0,29.5,"3.15"
"185",8099820,202410,202510,"BA Major","None","None",0,29.5,"3.15"
"186",8100116,202410,202410,"Undeclared - Business","None","None",0,18,"3.04"
"187",8100116,202410,202420,"Undeclared - Business","None","None",0,33,"2.94"
"188",8100116,202410,202510,"BA Major","None","None",0,33,"2.94"
"189",8100342,202410,202410,"CAS","None","None",0,33,"4"
"190",8100342,202410,202420,"CAS","None","None",0,48,"4"
"191",8100342,202410,202510,"BA Major","None","None",0,48,"4"
"192",8100526,202410,202410,"CAS","None","None",0,16,"3.7"
"193",8100526,202410,202420,"CAS","None","None",0,29,"3.73"
"194",8100526,202410,202510,"BA Major","None","None",0,33,"3.73"
"195",8100549,202410,202410,"Undeclared - Business","None","None",0,16,"3.78"
"196",8100549,202410,202420,"BA Major","None","None",0,34,"3.65"
"197",8100549,202410,202510,"BA Major","None","None",0,34,"3.65"
"198",8100919,202410,202410,"BA Major","None","None",0,13.5,"2.34"
"199",8100919,202410,202420,"BA Major","None","None",0,27.5,"2.41"
"200",8100919,202410,202510,"BA Major","None","None",0,27.5,"2.41"
"201",8101018,202410,202410,"CAS","None","None",0,42,"3.25"
"202",8101018,202410,202420,"CAS","None","None",0,56,"3.57"
"203",8101018,202410,202510,"BA Major","None","None",0,56,"3.57"
"204",8101123,202410,202410,"BA Major","None","None",0,15,"2.34"
"205",8101123,202410,202420,"Finance","None","None",0,32,"2.95"
"206",8101123,202410,202510,"Finance","None","None",0,35,"3.05"
"207",8101143,202410,202410,"BA Major","None","None",0,19,"3.13"
"208",8101143,202410,202420,"BA Major","None","None",0,36,"2.92"
"209",8101143,202410,202510,"BA Major","None","None",0,36,"2.92"
