"","Student ID","Gender","First Generation Indicator","Term Code","Term UG Crs GPA","Cum UG Crs GPA"
"152",8196411,"Male","Not First Generation College Stdnt","202220",2.57,2.99
"153",8196411,"Male","Not First Generation College Stdnt","202310",3,2.99
"154",8196411,"Male","Not First Generation College Stdnt","202320",3.2,3.09
"155",8196411,"Male","Not First Generation College Stdnt","202410",NA,3.09
"156",8196411,"Male","Not First Generation College Stdnt","202420",3.25,3.11
"157",8196411,"Male","Not First Generation College Stdnt","202510",NA,3.11
"158",8197248,"Male","First Generation College Stdnt","202210",3.65,3.65
"159",8197248,"Male","First Generation College Stdnt","202220",3.06,3.34
"160",8197248,"Male","First Generation College Stdnt","202310",3.32,3.34
"161",8197248,"Male","First Generation College Stdnt","202320",3.34,3.34
"162",8197248,"Male","First Generation College Stdnt","202410",3.5,3.37
"163",8197248,"Male","First Generation College Stdnt","202420",NA,3.37
"164",8197248,"Male","First Generation College Stdnt","202510",NA,3.37
"165",8197334,"Female","Not First Generation College Stdnt","202210",3.77,3.77
"166",8197334,"Female","Not First Generation College Stdnt","202220",3.86,3.81
"167",8197334,"Female","Not First Generation College Stdnt","202310",3.88,3.83
"168",8197334,"Female","Not First Generation College Stdnt","202320",3.88,3.84
"169",8197334,"Female","Not First Generation College Stdnt","202410",3.7,3.81
"170",8197334,"Female","Not First Generation College Stdnt","202420",3.6,3.78
"171",8197334,"Female","Not First Generation College Stdnt","202510",NA,3.78
"172",8198622,"Male","Not First Generation College Stdnt","202210",3.51,3.51
"173",8198622,"Male","Not First Generation College Stdnt","202220",3.74,3.62
"174",8198622,"Male","Not First Generation College Stdnt","202310",3.2,3.48
"175",8198622,"Male","Not First Generation College Stdnt","202320",3.86,3.58
"176",8198622,"Male","Not First Generation College Stdnt","202410",2.94,3.45
"177",8198622,"Male","Not First Generation College Stdnt","202420",3.06,3.39
"178",8198622,"Male","Not First Generation College Stdnt","202510",NA,3.39
"179",8200937,"Male","Not First Generation College Stdnt","202210",2.55,2.55
"180",8200937,"Male","Not First Generation College Stdnt","202220",3.26,2.93
"181",8200937,"Male","Not First Generation College Stdnt","202310",2.97,2.95
"182",8200937,"Male","Not First Generation College Stdnt","202320",3.26,3.03
"183",8200937,"Male","Not First Generation College Stdnt","202410",2.72,2.96
"184",8200937,"Male","Not First Generation College Stdnt","202420",2.88,2.95
"185",8200937,"Male","Not First Generation College Stdnt","202510",NA,2.95
"186",8201100,"Male","Not First Generation College Stdnt","202210",3.89,3.89
"187",8201100,"Male","Not First Generation College Stdnt","202220",3.94,3.83
"188",8201100,"Male","Not First Generation College Stdnt","202310",3.64,3.76
"189",8201100,"Male","Not First Generation College Stdnt","202320",3.8,3.77
"190",8201100,"Male","Not First Generation College Stdnt","202410",3.66,3.75
"191",8201100,"Male","Not First Generation College Stdnt","202420",3.92,3.78
"192",8201100,"Male","Not First Generation College Stdnt","202510",NA,3.78
"193",8201508,"Female","Not First Generation College Stdnt","202210",3.92,3.92
"194",8201508,"Female","Not First Generation College Stdnt","202220",3.94,3.94
"195",8201508,"Female","Not First Generation College Stdnt","202310",3.94,3.94
"196",8201508,"Female","Not First Generation College Stdnt","202320",3.94,3.9
"197",8201508,"Female","Not First Generation College Stdnt","202410",3.88,3.9
"198",8201508,"Female","Not First Generation College Stdnt","202420",3.94,3.9
"199",8201508,"Female","Not First Generation College Stdnt","202510",NA,3.9
"200",8201904,"Male","Not First Generation College Stdnt","202210",2.7,2.7
"201",8201904,"Male","Not First Generation College Stdnt","202220",1.39,2.1
"202",8201904,"Male","Not First Generation College Stdnt","202310",2.9,2.33
"203",8201904,"Male","Not First Generation College Stdnt","202320",1.92,2.22
"204",8201904,"Male","Not First Generation College Stdnt","202410",1.75,2.15
"205",8201904,"Male","Not First Generation College Stdnt","202420",2.2,2.29
"206",8201904,"Male","Not First Generation College Stdnt","202510",NA,2.29
"207",8203154,"Female","Not First Generation College Stdnt","202210",4,4
"208",8203154,"Female","Not First Generation College Stdnt","202220",4,4
"209",8203154,"Female","Not First Generation College Stdnt","202310",3.83,3.93
"210",8203154,"Female","Not First Generation College Stdnt","202320",4,3.94
"211",8203154,"Female","Not First Generation College Stdnt","202410",3.77,3.91
"212",8203154,"Female","Not First Generation College Stdnt","202420",3.63,3.85
"213",8203154,"Female","Not First Generation College Stdnt","202510",NA,3.83
"214",8203997,"Male","Not First Generation College Stdnt","202210",3.56,3.56
"215",8203997,"Male","Not First Generation College Stdnt","202220",3.39,3.48
"216",8203997,"Male","Not First Generation College Stdnt","202310",2.86,3.27
"217",8203997,"Male","Not First Generation College Stdnt","202320",3,3.2
"218",8203997,"Male","Not First Generation College Stdnt","202410",2.82,3.12
"219",8203997,"Male","Not First Generation College Stdnt","202420",3,3.11
"220",8203997,"Male","Not First Generation College Stdnt","202510",NA,3.14
"221",8204070,"Female","Not First Generation College Stdnt","202210",3.75,3.75
"222",8204070,"Female","Not First Generation College Stdnt","202220",3.89,3.82
"223",8204070,"Female","Not First Generation College Stdnt","202310",3.78,3.81
