"","Student ID","Term Code","Term UG MU Earned CrHr","Term UG Overall Earned CrHr (MU and Non-MU)","Cum UG Overall Earned CrHr (MU and Non-MU)"
"248",8203154,"202310",18,18,109
"249",8203154,"202315",3,3,112
"250",8203154,"202320",15,15,127
"251",8203154,"202330",3,3,130
"252",8203154,"202410",17,17,147
"253",8203154,"202415",3,3,150
"254",8203154,"202420",13,13,163
"255",8203154,"202430",3,3,166
"256",8203154,"202510",NA,NA,166
"257",8203997,"202210",15,29,29
"258",8203997,"202220",15,15,44
"259",8203997,"202310",15,15,59
"260",8203997,"202320",16,16,75
"261",8203997,"202410",15,15,90
"262",8203997,"202420",15,15,105
"263",8203997,"202430",3,3,108
"264",8203997,"202510",NA,NA,108
"265",8204070,"202210",16,19,19
"266",8204070,"202220",17,17,36
"267",8204070,"202310",18,18,54
"268",8204070,"202320",0,16,70
"269",8204070,"202410",15,15,85
"270",8204070,"202420",15,15,100
"271",8204070,"202510",NA,NA,100
"272",8204796,"202210",12,12,12
"273",8204796,"202215",6,6,18
"274",8204796,"202220",12,12,30
"275",8204796,"202230",6,6,36
"276",8204796,"202310",17,17,53
"277",8204796,"202315",3,3,56
"278",8204796,"202320",18,18,74
"279",8204796,"202330",5,5,79
"280",8204796,"202410",15,15,94
"281",8204796,"202415",6,6,100
"282",8204796,"202420",16,16,116
"283",8204796,"202430",5,5,121
"284",8204796,"202510",NA,NA,121
"285",8205621,"202210",17,59,59
"286",8205621,"202220",16,16,75
"287",8205621,"202310",15,15,90
"288",8205621,"202320",18,18,108
"289",8205621,"202410",18,18,126
"290",8205621,"202420",18,18,144
"291",8205621,"202510",NA,NA,144
"292",8205774,"202210",17,37,37
"293",8205774,"202220",16,16,53
"294",8205774,"202310",15,15,68
"295",8205774,"202320",15,15,83
"296",8205774,"202410",15,15,98
"297",8205774,"202415",3,3,101
"298",8205774,"202420",17,17,118
"299",8205774,"202510",NA,NA,118
"300",8206175,"202210",12,17,17
"301",8206175,"202215",3,3,20
"302",8206175,"202220",14,14,34
"303",8206175,"202310",14,14,48
"304",8206175,"202320",12,12,60
"305",8206175,"202330",4,4,64
"306",8206175,"202410",15,15,79
"307",8206175,"202420",12,12,91
"308",8206175,"202510",NA,NA,91
"309",8206175,"202515",NA,NA,91
"310",8206175,"202520",NA,NA,91
"311",8207043,"202210",15,15,15
"312",8207043,"202220",16,16,31
"313",8207043,"202310",17,17,48
"314",8207043,"202320",17,17,65
"315",8207043,"202410",17,17,82
"316",8207043,"202420",0,16,98
"317",8207043,"202510",NA,NA,98
"318",8208211,"202210",17,61,61
"319",8208211,"202220",12,12,73
"320",8208211,"202310",15,15,88
"321",8208211,"202320",16,16,104
"322",8208211,"202410",15,15,119
"323",8208211,"202415",6,6,125
"324",8208211,"202420",15,15,140
"325",8208211,"202510",NA,NA,140
"326",8218558,"202210",16,60,60
"327",8218558,"202215",3,3,63
"328",8218558,"202220",16,16,79
"329",8218558,"202230",6,6,85
"330",8218558,"202310",12,12,97
"331",8218558,"202315",3,3,100
"332",8218558,"202320",12,12,112
"333",8218558,"202410",12,12,124
"334",8218558,"202415",3,3,127
"335",8218558,"202420",12,12,139
"336",8218558,"202430",3,3,142
"337",8218558,"202510",0,0,142
"338",8223835,"202110",15,22,22
"339",8223835,"202120",16,16,38
"340",8223835,"202210",15,15,53
"341",8223835,"202220",17,17,70
"342",8223835,"202310",15,15,85
"343",8223835,"202320",16,16,101
"344",8223835,"202410",15,15,116
"345",8223835,"202420",15,15,131
"346",8225982,"202210",13,36,36
"347",8225982,"202215",3,3,39
"348",8225982,"202220",18,18,57
"349",8226272,"202110",15,37,37
"350",8226272,"202120",17,17,54
"351",8226272,"202210",15,15,69
"352",8226272,"202220",16,16,85
"353",8226272,"202310",16,16,101
"354",8226272,"202320",16,16,117
"355",8226272,"202410",16,16,133
"356",8226272,"202420",17,17,150
"357",8226515,"202110",12,12,12
"358",8226515,"202120",12,12,24
"359",8226515,"202210",9,9,33
"360",8226515,"202220",9,9,42
"361",8226515,"202230",3,3,45
"362",8226515,"202310",10,10,55
"363",8226515,"202410",18,18,73
"364",8226515,"202420",17,17,90
"365",8226515,"202430",7,7,97
"366",8226515,"202510",0,0,97
"367",8226542,"202110",17,35,35
"368",8226542,"202120",15,15,50
"369",8226542,"202210",15,15,65
"370",8226542,"202220",16,16,81
"371",8226542,"202310",15,15,96
"372",8226542,"202320",15,15,111
"373",8226542,"202410",12,12,123
"374",8226542,"202420",15,15,138
"375",8230669,"202110",16,16,16
"376",8230669,"202120",15,15,31
"377",8230669,"202210",16,16,47
"378",8230669,"202220",15,15,62
"379",8230669,"202230",14,14,76
"380",8230669,"202310",15,15,91
"381",8230669,"202320",18,18,109
"382",8230669,"202330",6,6,115
"383",8230669,"202410",18,18,133
"384",8230669,"202420",19,19,152
"385",8230735,"202110",12,18,18
"386",8230735,"202120",20,20,38
"387",8230735,"202210",20,20,58
"388",8230735,"202220",16,16,74
"389",8230735,"202310",18,18,92
"390",8230735,"202320",18,18,110
"391",8230735,"202410",18,18,128
"392",8230735,"202420",12,12,140
"393",8231350,"202110",15,15,15
"394",8231350,"202120",16,20,35
"395",8231350,"202210",20,20,55
"396",8231350,"202215",3,3,58
"397",8231350,"202220",15,15,73
