"","Student ID","Course","Term Code","Earned Academic Credit","Final Letter Grade Group","Final Letter Grade","GPA Quality Points"
"201",8379005,"CSE148","201820","Y","A","A",4
"202",8379005,"ECO201","201920","Y","B","B+",3.3
"203",8379005,"FIN301","202020","Y","A","A",4
"204",8379005,"ISA225","201910","Y","B","B",3
"205",8379005,"ISA235","201910","Y","B","B+",3.3
"206",8379005,"MGT291","201910","Y","B","B+",3.3
"207",8378360,"ACC221","201910","Y","B","B-",2.7
"208",8378360,"BUS104","201810","Y","A","A",4
"209",8378360,"CSE148","201820","Y","A","A",4
"210",8378360,"ECO201","201920","Y","B","B",3
"211",8378360,"FIN301","201930","Y","B","B",3
"212",8378360,"ISA225","201910","Y","B","B",3
"213",8378360,"ISA235","201910","Y","A","A",4
"214",8378360,"MGT291","201920","Y","A","A-",3.7
"215",8378360,"MTH151","201810","Y","B","B",3
"216",8378080,"ACC221","201910","Y","C","C+",2.3
"217",8378080,"BUS104","201810","Y","B","B+",3.3
"218",8378080,"CSE148","201820","Y","B","B+",3.3
"219",8378080,"FIN301","202010","Y","A","A",4
"220",8378080,"ISA225","201910","Y","B","B-",2.7
"221",8378080,"ISA235","201920","Y","A","A-",3.7
"222",8378080,"MGT291","201910","Y","A","A",4
"223",8378080,"MTH151","201810","Y","D","D",1
"224",8377378,"ACC221","201920","Y","B","B-",2.7
"225",8377378,"BUS104","201910","Y","A","A-",3.7
"226",8377378,"CSE148","201820","Y","A","A-",3.7
"227",8377378,"ECO201","201920","Y","A","A-",3.7
"228",8377378,"ISA225","201910","Y","A","A-",3.7
"229",8377378,"ISA235","201920","Y","B","B+",3.3
"230",8377378,"MGT291","202020","Y","A","A",4
"231",8377378,"MTH151","201810","Y","B","B",3
"232",8377224,"ACC221","201820","Y","B","B-",2.7
"233",8377224,"BUS104","201810","Y","A","A",4
"234",8377224,"CSE148","201820","Y","A","A",4
"235",8377224,"FIN301","202010","Y","C","C",2
"236",8377224,"ISA225","201910","Y","B","B-",2.7
"237",8377224,"ISA235","201910","Y","A","A",4
"238",8377224,"MGT291","201920","Y","B","B",3
"239",8374059,"ACC221","201820","Y","C","C",2
"240",8374059,"BUS104","201810","Y","A","A",4
"241",8374059,"CSE148","201820","Y","B","B-",2.7
"242",8374059,"FIN301","201920","Y","B","B-",2.7
"243",8374059,"ISA225","201920","Y","A","A-",3.7
"244",8374059,"ISA235","201910","Y","B","B+",3.3
"245",8374059,"MGT291","201920","Y","A","A+",4
"246",8373905,"ACC221","201910","Y","C","C+",2.3
"247",8373905,"BUS104","201810","Y","B","B+",3.3
"248",8373905,"CSE148","201820","Y","C","C+",2.3
"249",8373905,"ECO201","201910","Y","D","D",1
"250",8373905,"FIN301","202010","Y","B","B",3
"251",8373905,"ISA225","202030","Y","D","D",1
"252",8373905,NA,"202110","Y","C","C+",2.3
"253",8373905,"ISA235","201910","Y","B","B",3
"254",8373905,"MGT291","201910","Y","C","C",2
"255",8373905,"MTH151","202020","Y","D","D",1
"256",8373893,"ACC221","201910","Y","B","B+",3.3
"257",8373893,"BUS104","201920","Y","A","A-",3.7
"258",8373893,"CSE148","201910","Y","A","A",4
"259",8373893,"ECO201","201820","Y","A","A",4
"260",8373893,"FIN301","202010","Y","A","A+",4
"261",8373893,"ISA225","201920","Y","A","A-",3.7
"262",8373893,"ISA235","202010","Y","A","A-",3.7
"263",8373893,"MGT291","202010","Y","A","A",4
"264",8373123,"ACC221","201910","Y","A","A-",3.7
"265",8373123,"BUS104","201820","Y","B","B+",3.3
"266",8373123,"CSE148","201810","Y","B","B",3
"267",8373123,"ECO201","201910","Y","B","B+",3.3
"268",8373123,"FIN301","202010","Y","B","B",3
"269",8373123,"ISA225","201910","Y","B","B",3
"270",8373123,"ISA235","201920","Y","A","A",4
"271",8373123,"MGT291","201920","Y","A","A",4
"272",8372995,"ACC221","201820","Y","C","C+",2.3
"273",8372995,"BUS104","201820","Y","B","B",3
"274",8372995,"CSE148","201810","Y","A","A",4
"275",8372995,"FIN301","201920","Y","C","C",2
"276",8372995,"ISA225","201920","Y","B","B",3
"277",8372995,"ISA235","201910","Y","B","B",3
"278",8372995,"MGT291","201910","Y","B","B+",3.3
"279",8372995,"MTH151","201810","Y","B","B+",3.3
"280",8372868,"ACC221","201810","Y","B","B+",3.3
"281",8372868,"BUS104","201820","Y","A","A",4
"282",8372868,"CSE148","201810","Y","A","A",4
"283",8372868,"FIN301","201920","Y","B","B+",3.3
"284",8372868,"ISA235","201910","Y","B","B+",3.3
"285",8372868,"MGT291","201920","Y","A","A",4
"286",8372734,"ACC221","201910","Y","C","C",2
"287",8372734,"BUS104","201810","Y","B","B",3
"288",8372734,"CSE148","201820","Y","C","C-",1.7
"289",8372734,"ECO201","201910","Y","D","D",1
"290",8372734,NA,"202015","Y","A","A-",3.7
"291",8372734,"FIN301","201920","Y","C","C",2
"292",8372734,"ISA225","201920","Y","B","B",3
"293",8372734,"ISA235","201910","Y","B","B-",2.7
"294",8372734,"MGT291","201920","Y","B","B-",2.7
"295",8372734,"MTH151","201810","Y","D","D-",0.7
"296",8371019,"ACC221","201820","Y","C","C",2
"297",8371019,"BUS104","201820","Y","A","A-",3.7
"298",8371019,"CSE148","201810","Y","C","C",2
"299",8371019,"ECO201","201910","Y","A","A",4
"300",8371019,"FIN301","201920","Y","B","B-",2.7
"301",8371019,"ISA225","201920","Y","B","B",3
"302",8371019,"ISA235","201910","Y","A","A-",3.7
"303",8370493,"ACC221","201820","Y","C","C",2
"304",8370493,"BUS104","201810","Y","B","B",3
"305",8370493,"CSE148","201820","Y","C","C-",1.7
"306",8370493,NA,"201920","Y","B","B+",3.3
"307",8370493,"FIN301","201920","Y","C","C",2
"308",8370493,"ISA225","201910","Y","B","B-",2.7
"309",8370493,"ISA235","201910","Y","A","A",4
"310",8370493,"MGT291","201920","Y","B","B",3
"311",8370493,"MTH151","201810","Y","B","B",3
"312",8369816,"ACC221","201910","Y","B","B",3
"313",8369816,"BUS104","201920","Y","A","A",4
"314",8369816,"CSE148","201910","Y","B","B",3
"315",8369816,"ECO201","201820","Y","A","A",4
"316",8369816,"FIN301","202015","Y","A","A",4
"317",8369816,"ISA225","202010","Y","B","B",3
"318",8369816,"ISA235","202010","Y","A","A-",3.7
"319",8369816,"MGT291","201920","Y","A","A-",3.7
"320",8369816,"MTH151","201810","Y","C","C+",2.3
"321",8369263,"ACC221","201820","Y","B","B-",2.7
"322",8369263,"BUS104","201810","Y","A","A",4
"323",8369263,"CSE148","201820","Y","B","B+",3.3
"324",8369263,"FIN301","201920","Y","C","C",2
"325",8369263,"ISA225","201820","Y","B","B",3
"326",8369263,"ISA235","201910","Y","B","B",3
