"","Student.ID","Cohort.Term","Term.Code","Major.1","Major.2","Major.3","Term.Code.Graduated","Graduated","Cum.Credit.Hours","Cum.UG.Crs.GPA"
"126",8190732,202210,202320,"Cybersecurity Mgt Major","None","None",202520,1,95,3.76
"127",8190732,202210,202410,"Cybersecurity Mgt Major","None","None",202520,1,110,3.8
"128",8190732,202210,202420,"Cybersecurity Mgt Major","None","None",202520,1,124,3.82
"129",8190732,202210,202510,"Cybersecurity Mgt Major","None","None",202520,1,124,3.82
"130",8193517,202210,202210,"IS Major","None","None",202520,1,49,4
"131",8193517,202210,202220,"IS Major","None","None",202520,1,64,4
"132",8193517,202210,202310,"IS Major","None","None",202520,1,83,3.95
"133",8193517,202210,202320,"IS Major","None","None",202520,1,103,3.96
"134",8193517,202210,202410,"IS Major","None","None",202520,1,123,3.97
"135",8193517,202210,202420,"IS Major","None","None",202520,1,141,3.97
"136",8193517,202210,202510,"IS Major","None","None",202520,1,141,3.97
"137",8194067,202210,202210,"Undeclared - Business","None","None",202520,1,24,3.6
"138",8194067,202210,202220,"Undeclared - Business","None","None",202520,1,39,3.73
"139",8194067,202210,202310,"IS Major","None","None",202520,1,54,3.78
"140",8194067,202210,202320,"IS Major","None","None",202520,1,66,3.81
"141",8194067,202210,202410,"IS Major","None","None",202520,1,84,3.78
"142",8194067,202210,202420,"IS Major","None","None",202520,1,102,3.75
"143",8194067,202210,202510,"IS Major","None","None",202520,1,102,3.75
"144",8194253,202210,202210,"BA Major","None","None",202520,1,62,4
"145",8194253,202210,202220,"BA Major","IS Major","None",202520,1,84,3.9
"146",8194253,202210,202310,"BA Major","IS Major","None",202520,1,102,3.88
"147",8194253,202210,202320,"BA Major","IS Major","None",202520,1,105,3.85
"148",8194253,202210,202410,"BA Major","IS Major","None",202520,1,124,3.88
"149",8194253,202210,202420,"BA Major","IS Major","None",202520,1,139,3.9
"150",8194253,202210,202510,"BA Major","IS Major","None",202520,1,139,3.9
"151",8194429,202210,202210,"Marketing","None","None",202520,1,24,2.86
"152",8194429,202210,202220,"IS Major","None","None",202520,1,38,3.28
"153",8194429,202210,202310,"IS Major","None","None",202520,1,53,3.46
"154",8194429,202210,202320,"IS Major","None","None",202520,1,69,3.48
"155",8194429,202210,202410,"Accountancy","IS Major","None",202520,1,86,3.53
"156",8194429,202210,202420,"Accountancy","IS Major","None",202520,1,101,3.59
"157",8194429,202210,202510,"IS Major","None","None",202520,1,101,3.59
