"","Student ID","Enrolled Student Count"
"413","8190575","1"
"414","8190708","1"
"415","8190918","1"
"416","8191039","1"
"417","8191163","1"
"418","8191209","1"
"419","8191401","1"
"420","8191431","1"
"421","8191448","1"
"422","8191595","1"
"423","8191633","1"
"424","8191653","1"
"425","8191700","1"
"426","8191862","1"
"427","8191921","1"
"428","8191938","1"
"429","8192388","1"
"430","8192462","1"
"431","8192597","1"
"432","8192653","1"
"433","8192696","1"
"434","8192894","1"
"435","8192960","1"
"436","8192966","1"
"437","8193010","1"
"438","8193320","1"
"439","8193405","1"
"440","8193409","1"
"441","8193507","1"
"442","8193533","1"
"443","8193928","1"
"444","8193985","1"
"445","8194047","1"
"446","8194129","1"
"447","8194253","1"
"448","8194395","1"
"449","8194432","1"
"450","8194665","1"
"451","8194805","1"
"452","8195074","1"
"453","8195115","1"
"454","8195153","1"
"455","8195158","1"
"456","8195188","1"
"457","8195281","1"
"458","8195689","1"
"459","8195899","1"
"460","8195925","1"
"461","8196046","1"
"462","8196844","1"
"463","8196920","1"
"464","8197080","1"
"465","8197429","1"
"466","8197493","1"
"467","8197967","1"
"468","8198301","1"
"469","8198848","1"
"470","8199244","1"
"471","8199396","1"
"472","8199444","1"
"473","8199524","1"
"474","8199879","1"
"475","8199970","1"
"476","8200504","1"
"477","8200777","1"
"478","8201100","1"
"479","8201347","1"
"480","8201387","1"
"481","8201493","1"
"482","8201706","1"
"483","8201733","1"
"484","8202241","1"
"485","8202349","1"
"486","8202613","1"
"487","8202624","1"
"488","8202719","1"
"489","8202810","1"
"490","8203289","1"
"491","8203348","1"
"492","8203595","1"
"493","8203607","1"
"494","8204022","1"
"495","8204070","1"
"496","8204130","1"
"497","8204447","1"
"498","8204564","1"
"499","8204994","1"
"500","8205151","1"
"501","8205333","1"
"502","8205394","1"
"503","8205678","1"
"504","8205734","1"
"505","8205784","1"
"506","8206209","1"
"507","8206323","1"
"508","8206374","1"
"509","8206527","1"
"510","8206589","1"
"511","8206673","1"
"512","8207056","1"
"513","8208062","1"
"514","8208211","1"
"515","8216877","1"
"516","8216939","1"
"517","8216970","1"
"518","8217036","1"
"519","8217044","1"
"520","8218436","1"
"521","8221753","1"
"522","8224982","1"
"523","8226333","1"
"524","8226483","1"
"525","8226632","1"
"526","8228733","1"
"527","8228925","1"
"528","8229824","1"
"529","8229869","1"
"530","8229976","1"
"531","8230735","1"
"532","8230745","1"
"533","8231106","1"
"534","8231117","1"
"535","8231449","1"
"536","8232226","1"
"537","8232533","1"
"538","8233278","1"
"539","8233829","1"
"540","8233844","1"
"541","8233854","1"
"542","8235522","1"
"543","8235926","1"
"544","8236003","1"
"545","8236114","1"
"546","8236405","1"
"547","8236496","1"
"548","8236572","1"
"549","8237593","1"
"550","8237729","1"
"551","8237792","1"
"552","8237816","1"
"553","8237939","1"
"554","8237988","1"
"555","8238764","1"
"556","8238809","1"
"557","8238895","1"
"558","8239036","1"
"559","8239451","1"
"560","8240091","1"
"561","8240124","1"
"562","8241122","1"
"563","8241959","1"
"564","8242001","1"
"565","8242136","1"
"566","8242848","1"
"567","8242896","1"
"568","8243232","1"
"569","8243561","1"
"570","8243761","1"
"571","8245499","1"
"572","8245502","1"
"573","8246329","1"
"574","8246520","1"
"575","8246894","1"
"576","8246913","1"
"577","8247640","1"
"578","8248087","1"
"579","8248246","1"
"580","8248382","1"
"581","8248778","1"
"582","8249032","1"
"583","8249462","1"
"584","8249700","1"
"585","8250686","1"
"586","8251048","1"
"587","8251072","1"
"588","8251114","1"
"589","8251501","1"
"590","8260957","1"
"591","8261450","1"
"592","8262661","1"
"593","8263482","1"
"594","8264086","1"
"595","8264603","1"
"596","8265510","1"
"597","8266656","1"
"598","8268360","1"
"599","8273273","1"
"600","8274007","1"
"601","8274526","1"
"602","8275768","1"
"603","8275990","1"
"604","8276788","1"
"605","8276875","1"
"606","8276925","1"
"607","8277031","1"
"608","8277355","1"
"609","8277469","1"
"610","8278735","1"
"611","8278739","1"
"612","8279077","1"
"613","8279285","1"
"614","8279703","1"
"615","8280063","1"
"616","8280174","1"
"617","8280433","1"
"618","8280700","1"
"619","8281275","1"
"620","8281767","1"
"621","8281982","1"
"622","8282747","1"
"623","8282974","1"
"624","8283170","1"
"625","8283359","1"
"626","8283387","1"
"627","8284065","1"
"628","8284203","1"
"629","8284510","1"
"630","8284604","1"
"631","8284681","1"
"632","8285262","1"
"633","8285592","1"
"634","8286290","1"
"635","8286362","1"
"636","8286386","1"
"637","8286870","1"
"638","8287137","1"
"639","8287192","1"
"640","8287397","1"
"641","8287473","1"
"642","8287518","1"
"643","8287549","1"
"644","8288226","1"
"645","8288383","1"
"646","8288701","1"
"647","8289349","1"
"648","8289645","1"
"649","8289763","1"
"650","8289855","1"
"651","8290249","1"
"652","8290276","1"
"653","8290339","1"
"654","8290855","1"
"655","8291190","1"
"656","8291384","1"
"657","8291591","1"
"658","8292332","1"
"659","8292442","1"
"660","8292446","1"
"661","8293553","1"
"662","8293617","1"
"663","8293789","1"
"664","8293990","1"
"665","8294257","1"
"666","8294329","1"
"667","8294533","1"
"668","8294677","1"
"669","8294785","1"
"670","8295097","1"
"671","8295458","1"
"672","8295572","1"
"673","8295624","1"
"674","8296019","1"
"675","8296091","1"
"676","8304284","1"
"677","8304959","1"
"678","8305176","1"
"679","8305468","1"
"680","8305795","1"
"681","8309047","1"
"682","8309126","1"
"683","8311146","1"
"684","8311871","1"
"685","8313151","1"
"686","8313455","1"
"687","8314453","1"
"688","8314754","1"
"689","8315620","1"
"690","8317414","1"
"691","8317791","1"
"692","8318030","1"
"693","8318744","1"
"694","8319115","1"
"695","8319933","1"
"696","8320803","1"
"697","8321660","1"
"698","8321894","1"
"699","8323387","1"
"700","8323830","1"
"701","8324656","1"
"702","8325028","1"
"703","8325151","1"
"704","8325515","1"
"705","8326128","1"
"706","8326382","1"
"707","8327017","1"
"708","8327627","1"
"709","8328843","1"
"710","8328875","1"
"711","8329214","1"
"712","8329631","1"
"713","8330104","1"
"714","8330667","1"
"715","8332131","1"
"716","8332243","1"
"717","8332399","1"
"718","8332566","1"
"719","8332809","1"
"720","8332899","1"
"721","8332921","1"
"722","8333381","1"
"723","8333453","1"
"724","8333646","1"
"725","8334557","1"
"726","8335143","1"
"727","8336578","1"
"728","8338269","1"
"729","8338485","1"
"730","8338893","1"
"731","8339022","1"
"732","8339335","1"
"733","8339550","1"
"734","8339919","1"
"735","8340310","1"
"736","8340355","1"
"737","8340511","1"
"738","8340526","1"
"739","8342493","1"
"740","8350002","1"
"741","8350888","1"
"742","8351630","1"
"743","8354482","1"
"744","8354519","1"
"745","8355890","1"
"746","8357001","1"
"747","8358602","1"
"748","8359278","1"
"749","8359870","1"
"750","8362430","1"
"751","8364375","1"
"752","8365108","1"
"753","8365422","1"
"754","8365711","1"
"755","8366174","1"
"756","8366385","1"
"757","8366918","1"
"758","8367035","1"
"759","8367545","1"
"760","8367894","1"
"761","8367944","1"
"762","8367955","1"
"763","8368057","1"
"764","8368109","1"
"765","8368121","1"
"766","8368719","1"
"767","8369044","1"
"768","8369067","1"
"769","8369564","1"
"770","8370335","1"
"771","8370460","1"
"772","8371569","1"
"773","8371719","1"
"774","8371741","1"
"775","8372215","1"
"776","8372318","1"
"777","8372669","1"
"778","8372995","1"
"779","8373328","1"
"780","8373418","1"
"781","8373628","1"
"782","8373905","1"
"783","8374059","1"
"784","8375640","1"
"785","8376010","1"
"786","8376089","1"
"787","8377320","1"
"788","8377418","1"
"789","8377632","1"
"790","8377653","1"
"791","8378332","1"
"792","8379553","1"
"793","8379931","1"
"794","8380034","1"
"795","8380912","1"
"796","8381137","1"
"797","8381513","1"
"798","8381924","1"
"799","8382026","1"
"800","8382476","1"
"801","8382573","1"
"802","8382893","1"
"803","8383258","1"
"804","8383490","1"
"805","8383906","1"
"806","8384345","1"
"807","8384407","1"
"808","8384659","1"
"809","8385193","1"
"810","8385483","1"
"811","8385730","1"
"812","8386138","1"
"813","8386377","1"
"814","8388086","1"
"815","8388254","1"
"816","8388320","1"
"817","8389082","1"
"818","8389477","1"
"819","8397628","1"
"820","8398101","1"
"821","8398122","1"
"822","8398216","1"
"823","8398224","1"
"824","8398240","1"
"825","8398291","1"
"826","8398303","1"
"827","8398361","1"
"828","8398381","1"
"829","8401257","1"
"830","8429284","1"
"831","8458965","1"
"832","8476995","1"
"833","8521298","1"
"834","8521862","1"
"835","Grand Total","834"
"836",NA,NA
"837",NA,"Cohort Academic Year Number is greater than or equal to 2018"
"838","and","Cohort Semester Name is equal to / is in Fall"
"839","and","Case When Majors and Concentrations.""Major""= 'Business Analytics' And Concentrations and Thematic Sequences.""Concentration"" = 'Basic Program (no submajor)' Then 'BA Major' When Majors and Concentrations.""Major"" = 'Analytics' And Concentrations and... is equal to / is in BA Major"
