"","Student ID","Course","Term Code","Earned Academic Credit","Final Letter Grade Group","Final Letter Grade","GPA Quality Points"
"161",8387363,"CSE148","201810","Y","A","A-",3.7
"162",8387363,"FIN301","202010","Y","B","B+",3.3
"163",8387363,"ISA225","201910","Y","B","B",3
"164",8387363,"ISA235","201910","Y","B","B+",3.3
"165",8387363,"ISA245","201920","Y","B","B+",3.3
"166",8387363,"ISA281","202020","Y","A","A-",3.7
"167",8387363,"ISA301","202010","Y","B","B",3
"168",8387363,"ISA387","202010","Y","A","A",4
"169",8387363,"ISA405","202120","Y","B","B",3
"170",8387363,"ISA406","202120","Y","B","B+",3.3
"171",8387363,"ISA495","202110","Y","B","B+",3.3
"172",8387363,"MGT291","201910","Y","B","B",3
"173",8387197,"ACC221","201810","Y","B","B",3
"174",8387197,"BUS104","201810","Y","B","B",3
"175",8387197,"CSE148","201820","Y","A","A",4
"176",8387197,"ECO201","201910","Y","B","B-",2.7
"177",8387197,"FIN301","201920","Y","B","B",3
"178",8387197,"ISA225","201930","Y","B","B",3
"179",8387197,"ISA235","201910","Y","B","B",3
"180",8387197,"ISA301","202110","Y","B","B+",3.3
"181",8387197,"ISA303","202010","Y","A","A-",3.7
"182",8387197,"ISA387","202110","Y","A","A-",3.7
"183",8387197,"ISA401","202120","Y","B","B-",2.7
"184",8387197,"ISA406","202120","Y","A","A-",3.7
"185",8387197,"ISA495","202110","Y","A","A",4
"186",8387197,"MGT291","201910","Y","A","A-",3.7
"187",8387094,"ACC221","201910","Y","B","B-",2.7
"188",8387094,"BUS104","201920","Y","B","B+",3.3
"189",8387094,"CSE148","201910","Y","C","C+",2.3
"190",8387094,"ECO201","201820","Y","B","B",3
"191",8387094,"FIN301","202030","Y","A","A-",3.7
"192",8387094,"ISA225","201920","Y","B","B-",2.7
"193",8387094,"ISA235","201920","Y","B","B",3
"194",8387094,"ISA245","202010","Y","C","C-",1.7
"195",8387094,"ISA281","202010","Y","B","B",3
"196",8387094,"ISA301","202120","Y","B","B",3
"197",8387094,"ISA387","202110","Y","C","C",2
"198",8387094,"ISA401","202020","Y","B","B+",3.3
"199",8387094,"ISA406","202120","Y","B","B",3
"200",8387094,"ISA495","202120","Y","A","A",4
"201",8387094,"MGT291","202015","Y","B","B",3
"202",8387094,"MTH151","201810","Y","B","B",3
"203",8387041,"ACC221","201820","Y","A","A-",3.7
"204",8387041,"BUS104","201810","Y","A","A",4
"205",8387041,"CSE148","201820","Y","A","A",4
"206",8387041,"ISA225","201910","Y","A","A",4
"207",8387041,"ISA235","201910","Y","B","B+",3.3
"208",8387041,"ISA245","201920","Y","B","B+",3.3
"209",8387041,"ISA281","201920","Y","A","A",4
"210",8387041,"ISA291","202010","Y","A","A-",3.7
"211",8387041,"ISA301","202120","Y","B","B+",3.3
"212",8387041,"ISA387","202010","Y","B","B+",3.3
"213",8387041,"ISA401","202010","Y","B","B",3
"214",8387041,"ISA406","202110","Y","A","A-",3.7
"215",8387041,"ISA414","202120","Y","A","A-",3.7
"216",8387041,"ISA444","202120","Y","C","C+",2.3
"217",8387041,"ISA491","202110","Y","B","B+",3.3
"218",8387041,"ISA495","202110","Y","A","A-",3.7
"219",8387041,"MGT291","202010","Y","A","A",4
"220",8386564,"ACC221","201910","Y","B","B-",2.7
"221",8386564,"BUS104","201820","Y","B","B",3
"222",8386564,"CSE148","201810","Y","A","A",4
"223",8386564,"ECO201","201920","Y","B","B+",3.3
"224",8386564,"FIN301","202010","Y","A","A",4
"225",8386564,"ISA225","201910","Y","B","B",3
"226",8386564,"ISA235","201910","Y","B","B",3
"227",8386564,"ISA245","201920","Y","B","B+",3.3
"228",8386564,"ISA281","202010","Y","B","B+",3.3
"229",8386564,"ISA291","202110","Y","A","A-",3.7
"230",8386564,"ISA301","202020","Y","A","A-",3.7
"231",8386564,"ISA387","202010","Y","B","B",3
"232",8386564,"ISA401","202120","Y","A","A",4
"233",8386564,"ISA405","202120","Y","B","B+",3.3
"234",8386564,"ISA406","202020","Y","B","B+",3.3
"235",8386564,"ISA491","202120","Y","B","B+",3.3
"236",8386564,"ISA495","202110","Y","A","A",4
"237",8386564,"MGT291","202015","Y","A","A-",3.7
"238",8386564,"MTH151","201810","Y","B","B",3
"239",8386140,"ACC221","201820","Y","B","B+",3.3
"240",8386140,"BUS104","201810","Y","A","A",4
"241",8386140,"CSE148","201820","Y","A","A-",3.7
"242",8386140,"ISA225","201920","Y","A","A-",3.7
"243",8386140,"ISA235","201910","Y","B","B",3
"244",8386140,"ISA245","201920","Y","A","A",4
"245",8386140,"ISA281","202010","Y","A","A",4
"246",8386140,"ISA301","202010","Y","B","B+",3.3
"247",8386140,"ISA406","202120","Y","B","B",3
"248",8386140,"ISA495","202120","Y","B","B+",3.3
