"","Student ID","Term Code","Term UG MU Earned CrHr","Term UG Overall Earned CrHr (MU and Non-MU)","Cum UG Overall Earned CrHr (MU and Non-MU)"
"328",8104748,"202510",NA,NA,34
"329",8104808,"202410",15,34,34
"330",8104808,"202415",4,4,38
"331",8104808,"202420",18,18,56
"332",8104808,"202510",NA,NA,56
"333",8104842,"202410",15,21,21
"334",8104842,"202415",2,2,23
"335",8104842,"202420",14,14,37
"336",8104842,"202510",NA,NA,37
"337",8104880,"202410",16,45,45
"338",8104880,"202420",15,15,60
"339",8104880,"202510",NA,NA,60
"340",8105202,"202410",15,15,15
"341",8105202,"202420",14,14,29
"342",8105202,"202510",NA,NA,29
"343",8105427,"202410",17,17,17
"344",8105427,"202420",17,17,34
"345",8105427,"202510",NA,NA,34
"346",8105588,"202410",16,16,16
"347",8105588,"202420",14,14,30
"348",8105588,"202430",4,4,34
"349",8105588,"202510",NA,NA,34
"350",8105593,"202410",15,27,27
"351",8105593,"202420",16,16,43
"352",8105593,"202510",NA,NA,43
"353",8105742,"202410",17,52,52
"354",8105742,"202420",18,18,70
"355",8105742,"202510",NA,NA,70
"356",8105892,"202410",16,20,20
"357",8105892,"202420",14,14,34
"358",8105892,"202510",NA,NA,34
"359",8106266,"202410",13,13,13
"360",8106266,"202415",3,3,16
"361",8106266,"202420",8,8,24
"362",8106266,"202510",0,0,24
"363",8107035,"202410",14,14,14
"364",8107035,"202415",6,6,20
"365",8107035,"202420",16,16,36
"366",8107035,"202510",0,0,36
"367",8107364,"202410",15,27,27
"368",8107364,"202420",16,16,43
"369",8107379,"202410",16,46,46
"370",8107379,"202420",16,16,62
"371",8107379,"202510",NA,NA,62
"372",8107437,"202410",16,37,37
"373",8107437,"202420",15,15,52
"374",8107437,"202510",NA,NA,52
"375",8107639,"202410",16,23,23
"376",8108201,"202410",15,36,36
"377",8108201,"202420",15,15,51
"378",8108201,"202510",NA,NA,51
"379",8109038,"202410",15,15,15
"380",8109038,"202415",3,3,18
"381",8109038,"202420",13,13,31
"382",8109038,"202430",5,5,36
"383",8109038,"202510",NA,NA,36
"384",8109038,"202520",NA,NA,36
"385",8109170,"202410",15,61,61
"386",8109170,"202415",3,3,64
"387",8109170,"202420",17,17,81
"388",8109170,"202510",NA,NA,81
"389",8109170,"202520",NA,NA,81
"390",8109428,"202410",16,16,16
"391",8109428,"202420",15,15,31
"392",8109428,"202430",6,9,40
"393",8109428,"202510",NA,NA,40
"394",8109574,"202410",16,37,37
"395",8109574,"202420",16,16,53
"396",8109574,"202510",NA,NA,53
"397",8110107,"202410",15,52,52
"398",8110107,"202420",14,14,66
"399",8110107,"202510",NA,NA,66
"400",8110149,"202410",17,43,43
"401",8110149,"202420",13,13,56
"402",8110149,"202510",NA,NA,56
"403",8110213,"202410",16,41,41
"404",8110213,"202420",17,17,58
"405",8110213,"202510",0,0,58
"406",8110213,"202515",NA,NA,58
"407",8110325,"202410",13,13,13
"408",8110325,"202420",18,18,31
"409",8110325,"202510",0,0,31
"410",8110325,"202520",NA,NA,31
"411",8111107,"202410",15,28,28
"412",8111107,"202420",15,15,43
"413",8111107,"202510",NA,NA,43
"414",8111944,"202410",15,34,34
"415",8111944,"202420",16,16,50
"416",8111944,"202430",6,6,56
"417",8111944,"202510",NA,NA,56
"418",8112120,"202410",16,22,22
"419",8112120,"202420",17,17,39
"420",8112120,"202510",NA,NA,39
"421",8112254,"202410",15,27,27
"422",8112254,"202420",15,15,42
"423",8112254,"202430",3,3,45
"424",8112254,"202510",NA,NA,45
"425",8112451,"202410",17,65,65
"426",8112451,"202420",18,18,83
"427",8112451,"202430",6,6,89
"428",8112451,"202510",NA,NA,89
"429",8112497,"202410",16,19,19
"430",8112497,"202415",6,6,25
"431",8112497,"202420",14,14,39
"432",8112497,"202510",NA,NA,39
"433",8112667,"202410",15,24,24
"434",8112667,"202420",14,14,38
"435",8112667,"202510",NA,NA,38
"436",8112942,"202410",15,15,15
"437",8112942,"202420",15,15,30
"438",8112942,"202510",NA,NA,30
"439",8112942,"202520",NA,NA,30
"440",8113087,"202410",15,15,15
"441",8113087,"202420",15,15,30
"442",8113087,"202510",NA,NA,30
"443",8113388,"202410",14,47,47
"444",8113388,"202420",12,12,59
"445",8113388,"202510",NA,NA,59
"446",8113388,"202515",NA,NA,59
"447",8113623,"202410",15,50,50
"448",8113623,"202420",15,15,65
"449",8113623,"202510",NA,NA,65
"450",8113661,"202410",17,17,17
"451",8113661,"202420",16,16,33
"452",8113661,"202510",0,0,33
"453",8113775,"202410",15,49,49
"454",8113775,"202415",3,3,52
"455",8113775,"202420",18,18,70
"456",8113775,"202510",NA,NA,70
"457",8113775,"202520",NA,NA,70
"458",8113883,"202410",17,17,17
"459",8113883,"202415",3,3,20
"460",8113883,"202420",14,14,34
"461",8113883,"202430",6,6,40
"462",8113883,"202510",NA,NA,40
"463",8113883,"202515",NA,NA,40
"464",8113883,"202520",NA,NA,40
"465",8113913,"202410",14,14,14
"466",8113913,"202420",12,12,26
"467",8113913,"202510",NA,NA,26
"468",8113952,"202410",17,25,25
"469",8113952,"202415",2,2,27
"470",8113952,"202420",15,15,42
"471",8113952,"202510",NA,NA,42
"472",8114030,"202410",16,16,16
"473",8114030,"202420",17,17,33
"474",8114030,"202510",NA,NA,33
"475",8114030,"202520",NA,NA,33
"476",8114059,"202410",15,30,30
"477",8114059,"202420",17,17,47
"478",8114059,"202510",NA,NA,47
"479",8114059,"202515",NA,NA,47
"480",8114711,"202410",16,29,29
"481",8114711,"202420",16,16,45
"482",8114711,"202510",NA,NA,45
"483",8114906,"202410",15,24,24
"484",8114906,"202420",15,15,39
"485",8114906,"202430",5,5,44
"486",8114906,"202510",2,2,46
"487",8114983,"202410",14,14,14
"488",8114983,"202420",12,12,26
"489",8114983,"202510",NA,NA,26
"490",8115221,"202410",13,13,13
"491",8115221,"202420",17,17,30
"492",8115233,"202410",17,17,17
"493",8115233,"202420",15,15,32
"494",8115233,"202510",NA,NA,32
"495",8115369,"202410",15,39,39
"496",8115369,"202420",15,15,54
"497",8115369,"202510",NA,NA,54
"498",8115647,"202410",13,13,13
"499",8115647,"202420",14,14,27
"500",8115647,"202510",2,2,29
"501",8116045,"202410",16,41,41
"502",8116045,"202420",15,15,56
"503",8116045,"202510",NA,NA,56
"504",8116163,"202410",16,41,41
"505",8116163,"202420",16,16,57
"506",8116163,"202510",NA,NA,57
"507",8116176,"202410",16,25,25
"508",8116176,"202420",17,17,42
"509",8116176,"202510",NA,NA,42
"510",8116670,"202410",13,33,33
"511",8116670,"202420",16,16,49
"512",8116670,"202510",0,0,49
"513",8116997,"202410",16,29,29
"514",8116997,"202420",14,14,43
"515",8116997,"202510",NA,NA,43
"516",8117385,"202410",16,38,38
"517",8117385,"202420",16,16,54
"518",8117385,"202510",NA,NA,54
"519",8117466,"202510",0,59,59
"520",8117466,"202515",NA,NA,59
"521",8117466,"202520",NA,NA,59
"522",8118379,"202410",15,45,45
"523",8118379,"202420",16,16,61
"524",8118379,"202510",NA,NA,61
"525",8118379,"202515",NA,NA,61
"526",8118561,"202410",16,16,16
"527",8118561,"202420",14,14,30
"528",8118561,"202510",NA,NA,30
"529",8118561,"202515",NA,NA,30
"530",8119708,"202330",3,3,3
"531",8119708,"202410",15,24,27
"532",8119708,"202420",15,15,42
"533",8119708,"202430",0,5,NA
"534",8119708,"202510",NA,NA,47
"535",8119708,"202515",NA,NA,47
"536",8119865,"202410",17,26,26
"537",8119865,"202420",17,17,43
"538",8119865,"202510",NA,NA,43
"539",8120083,"202410",17,20,20
"540",8120083,"202420",15,15,35
"541",8120083,"202510",NA,NA,35
"542",8120083,"202515",NA,NA,35
"543",8120083,"202520",NA,NA,35
"544",8121036,"202410",16,28,28
"545",8121036,"202420",16,16,44
"546",8121036,"202510",NA,NA,44
"547",8121036,"202515",NA,NA,44
"548",8121360,"202410",15,55,55
"549",8121360,"202420",15,15,70
"550",8121360,"202510",NA,NA,70
"551",8121360,"202515",NA,NA,70
"552",8121637,"202410",15,15,15
"553",8121637,"202420",13,13,28
"554",8121637,"202510",NA,NA,28
"555",8121637,"202520",NA,NA,28
"556",8124223,"202410",17,26,26
"557",8124223,"202420",17,17,43
"558",8124223,"202510",NA,NA,43
"559",8124223,"202520",NA,NA,43
"560",8124641,"202310",15,21,21
"561",8124641,"202320",15,15,36
"562",8124641,"202410",15,15,51
"563",8124641,"202420",15,15,66
"564",8124641,"202510",3,3,69
"565",8124641,"202515",NA,NA,69
"566",8125971,"202310",14,50,50
"567",8125971,"202320",14,14,64
"568",8125971,"202410",15,15,79
